Marker	Ch1
0	4901A
0	26454
0	A242A
0	2359F
0	43332
0	2693F
0	23440
0	488E1
0	25905
0	A2421
0	48114
0	442D6
0	250F3
0	23F3D
0	4799E
0	24CFD
0	A233B
0	478D2
0	45158
0	A1CED
0	24C88
0	46DCA
0	25678
0	A3AE6
0	46A12
0	45579
0	A2023
0	25A95
0	4592E
0	24322
0	260A4
0	464C2
0	471A9
0	A2879
0	26946
0	46725
0	2373C
0	269C0
0	4581D
0	22834
0	A2560
0	27479
0	475E5
0	21F9F
0	27B6E
0	44A83
0	21ABB
0	A22BD
0	43B17
0	48763
0	A1
0	280C1
0	43824
0	211D4
0	A243F
0	4335E
0	48F93
0	A1DF4
0	293FB
0	42BBB
0	20FF3
0	A3337
0	42953
0	4A1D4
0	A1C14
0	2A094
0	49FE6
0	20816
0	A32C1
0	42016
0	4B4AD
0	A16B6
0	2AC28
0	4AF01
0	1FBD5
0	A2D80
0	411C4
0	4BC75
0	A13AA
0	2BB96
0	4B989
0	1EC90
0	2C617
0	40183
0	1E306
0	A1B6B
0	2D304
0	4C77C
0	1E2AF
0	2D1CD
0	3F62A
0	1D914
0	A14B8
0	3E2D5
0	4D297
0	1D25F
0	2E6C5
0	3E9B8
0	1CE7D
0	A09DB
0	3D9F2
0	4DD27
0	9FBD8
0	2ECB1
0	3D764
0	1C5CC
0	A0900
0	3D15E
0	4E876
0	A0C1B
0	30857
0	3C8B7
0	1C99B
0	A2439
0	3C275
0	4F7DD
0	A0945
0	313F2
0	4FB85
0	1BCAE
0	1913C
0	3B809
0	509F6
0	A0A9A
0	32C40
0	50D54
0	1B231
0	333CF
0	3AD46
0	1A899
0	A0495
0	34213
0	5192B
0	1A534
0	34536
0	39F29
0	1A0E2
0	9FC1A
0	3850C
0	529E1
0	19B67
0	35D96
0	38C7C
0	19751
0	9EEBA
0	377B3
0	53033
0	C00000
0	36B63
0	37650
0	18C94
0	9DA64
0	36A71
0	538FB
0	9C48D
0	37612
0	362D9
0	182D0
0	9C244
0	34FE5
0	53A31
0	9B02A
0	38717
0	34F4F
0	17DB6
0	9CD60
0	3469C
0	54DD6
0	9CE7C
0	3ADA2
0	34A47
0	17A65
0	9E06F
0	3465D
0	56D1B
0	9DB4C
0	3CAE2
0	57551
0	17581
0	9E1B5
0	33EAD
0	5899A
0	9D5BB
1	3F99D
1	2E0D3
1	A7200
1	512D0
1	404EC
1	A690B
1	1FEE9
1	5046C
1	2D89D
1	A846C
1	4FD6D
1	41608
1	A71EF
1	20BA5
1	4F720
1	2B94B
1	A85EF
1	4F47A
1	43509
1	2A6A8
1	22415
1	4EC4E
1	29DBE
1	A8F62
1	4E3EF
1	44C24
1	2911A
1	239D4
1	4E008
1	288A9
1	A99E7
1	24489
1	460D8
1	27E62
1	2474E
1	4CD93
1	4700F
1	A9B22
1	25978
1	4746A
1	27631
1	2591E
1	4B7FD
1	4893A
1	A959D
1	266C6
1	488D9
1	26904
1	AB0BA
1	4A6E7
1	49CC7
1	A968A
1	27BA5
1	49B0C
1	25B26
1	AB4CB
1	49050
1	4A89A
1	A97A0
1	28ED7
1	483C7
1	24AB9
1	AB6F2
1	47B8F
1	4C047
1	A9615
1	2A444
1	4C4B8
1	23937
1	AB8C0
1	46BC5
1	4D589
1	A96BB
1	2BADB
1	4D75F
1	2224F
1	2C115
1	458D1
1	4EB3B
1	A95A4
1	2CE3B
1	4EB4F
1	20B53
1	2D580
1	447CE
1	1FEF6
1	A962B
1	2E6CC
1	4FDAF
1	1F70F
1	2EF32
1	433D7
1	1F108
1	A9333
1	2FD51
1	50FE5
1	1E9BF
1	306CC
1	41EEA
1	1E469
1	A8D86
1	406CA
1	52282
1	1DD68
1	31ADB
1	40990
1	1D6EC
1	A86DC
1	3F83A
1	530C0
1	1CEC0
1	33318
1	3F5A4
1	1C7D4
1	A7B8B
1	3E5B9
1	5424A
1	1C073
1	34D8B
1	3E331
1	1BC18
1	A75B0
1	3CE2B
1	5562B
1	A6DE0
1	36587
1	3CE0A
1	1B185
1	A70A5
1	3C4B8
1	56DC2
1	A687B
1	37B75
1	56B6A
1	1AA39
1	A7254
1	3B1CB
1	58152
1	A5EEC
1	398CD
1	57DC9
1	19F4E
1	3A91B
1	39EFD
1	59183
1	A4E67
1	3AEDE
1	5926F
1	19BB5
1	3C3A7
1	38BED
1	5A12E
1	A4680
1	3CD8A
1	5A2C0
1	18ADF
1	3E129
1	37AF1
1	18662
1	A3DB6
1	3E867
1	5B43D
1	17FEB
1	3FEC9
1	362E1
1	17BAA
1	A2F9F
1	409D7
1	5C52C
1	1764F
1	41CB5
1	34F2E
1	173BC
1	A21C2
1	34155
1	5D763
1	16E98
1	4378A
1	33AAF
1	168F8
1	A0A5B
1	32883
1	5E782
1	1648F
1	45787
1	322BC
1	163F4
1	9FBB3
1	310F9
1	5F8AA
1	9F0E8
1	472AE
1	30F2E
1	15C58
1	9E859
1	2F123
1	603D5
1	9D920
1	496ED
1	60CFB
1	155A5
1	9D650
1	2EBE5
1	61834
1	9C8E0
1	4B874
1	619F1
1	15848
1	4C850
1	2DD8B
1	62BFC
1	9B231
1	4D33F
1	6275A
1	14CEF
1	4E992
1	2CCA8
1	1C0000
1	99707
1	4F0D9
1	6354D
1	14984
1	5052C
1	2B544
1	1495D
1	98431
1	2A916
1	642BA
1	1448C
1	52A62
1	2A2B7
1	146ED
1	9752E
1	29275
1	64EBE
1	96521
1	55176
1	28E5C
1	14388
1	95A55
1	27AD3
1	65A6F
1	945DB
1	57061
1	66523
1	1403B
1	94232
1	26D85
1	67359
1	92DED
1	596C6
1	66E1C
1	13F48
1	5B16E
1	25C98
1	6B800
1	91065
1	5B1EF
1	67C02
1	144CA
1	5D290
1	24B37
1	1428D
1	8F452
1	E0000
1	68633
1	1441F
1	5F29D
1	23928
1	1434D
1	8D6C1
1	231E6
1	69085
1	141B7
1	61541
1	22C89
1	1455C
1	8B9B0
1	222F3
1	6994F
1	14475
1	638D6
1	21BEC
1	149B6
1	89E78
1	20EBC
1	6A375
1	88F7A
1	663D2
1	6B4D9
1	14E3C
1	88058
1	20009
1	6AD31
1	86E25
1	68B90
1	6B6C8
1	150C2
1	6A37E
1	1E96D
1	6B91E
1	8473C
1	6ADE8
1	6BB4D
1	1565A
1	6CA5B
1	1DFB2
1	15D8D
1	8263D
1	6D1F1
1	6BD41
1	15F98
1	6F35E
1	1CFB0
1	164DF
1	803F4
1	1CD85
