Marker	Ch1
0       87709
0       43CA4
0       58F28
0       870ED
0       2D095
0       5BE5D
0       13D5D
0       840F1
0       3E152
0       5DDE1
0       83DE5
0       332AC
0       60B88
0       12942
0       3679F
0       38489
0       62302
0       801D7
0       39EAF
0       64D05
0       11BD4
0       3D15E
0       328A3
0       65A19
0       7BAAA
0       413F8
0       688F2
0       11C04
0       43D8A
0       2D50B
0       6957B
0       76853
0       48D19
0       6BB25
0       124AD
0       4AF22
0       2822B
0       6C308
0       6FFA1
0       4F8EC
0       6E378
0       138F0
0       5252D
0       237C2
0       6DF01
0       697DE
0       56AFD
0       6F7BA
0       156C0
0       59B7B
0       1F802
0       16286
0       62C7C
0       5EA12
0       70142
0       17F87
0       60B2E
0       1BFA2
0       1909F
0       5BC25
0       65B55
0       705A5
0       1B19C
0       6774C
0       1936A
0       1CA41
0       54849
0       17F5F
0       6FCCE
0       1ED89
0       6DDCC
0       16F56
0       20616
0       4CCCB
0       162A3
0       6E846
0       23315
0       74508
0       1585D
0       258C8
0       45646
0       15242
0       6C5DA
0       281DB
0       79C3A
0       14B6D
0       2AB51
0       3E355
0       15030
0       69636
0       3A9BB
0       7EB58
0       14A7B
0       30546
0       373D4
0       15524
0       65DAA
0       33DB4
0       82DF3
0       157AA
0       35BBE
0       30E0A
0       163E9
0       61B9A
0       2DF17
0       865C3
0       5F84B
0       3B8DD
0       2B2B5
0       18237
0       5D4E5
0       2855A
0       89366
0       5AB93
0       41D64
0       25B91
0       1B14B
0       5885D
0       2317A
0       8A7DC
0       557A4
0       4775A
0       20BED
0       1E2C5
0       5301C
0       1E954
0       8B07A
0       5004E
0       4CCA8
0       8BD0E
0       2254F
0       4DA93
0       1A9E4
0       8A82F
0       4AA3B
0       52829
0       8A5A3
0       273B9
0       47D04
0       16D70
0       87FC9
0       44B01
0       585A8
0       8767F
0       2C2D7
0       41E26
0       14982
0       85A4D
0       3EEAE
0       5D5EC
0       844FA
0       325BA
0       60181
0       12E85
0       821CB
0       390A6
0       61FD1
0       808AF
0       3973B
0       646AF
0       11E5F
0       7D98E
0       33213
0       65C3A
0       7BD3E
0       4037E
0       68471
0       11B47
0       78C57
0       2DAC7
0       68F9B
0       764A2
0       478E1
0       6B583
0       12228
0       72D23
0       28737
0       6BDDD
0       6FEF1
0       4F20C
0       6D11C
0       1314A
0       6C829
0       242BC
0       6F1A2
0       69902
0       56F7A
0       6ED09
0       152AF
0       65D3F
0       1FBED
1       3657F
1       6301D
1       11956
1       3BEE5
1       33763
1       11947
1       7C720
1       3FFF2
1       6801B
1       1188B
1       42CD9
1       2E3CC
1       68C1E
1       76D53
1       46CF6
1       6B31B
1       12266
1       73970
1       2909D
1       6C280
1       710E1
1       4E633
1       26677
1       12E42
1       6D807
1       24A90
1       6F058
1       13F00
1       5599D
1       21D1A
1       14B52
1       66FE8
1       1F99E
1       6FD80
1       163CB
1       5C5D4
1       1E0E0
1       1739D
1       60340
1       1BD31
1       701EC
1       18F9D
1       636E5
1       1A4F2
1       1AA2F
1       58E70
1       1933A
1       700DD
1       1C7C1
1       69DE5
1       17E95
1       1E174
1       51800
1       172DE
1       6F3E0
1       20721
1       7069F
1       164BE
1       2203B
1       4A4A2
1       15D0D
1       6DC82
1       459
1       761E6
1       1513D
1       278CB
1       42F44
1       14FC6
1       6B623
1       3F34E
1       7B8BE
1       14A94
1       2C49F
1       3BBD5
1       14EA9
1       683BA
1       379BE
1       80055
1       14F33
1       31EC4
1       34B7F
1       1555A
1       64616
1       31906
1       840DE
1       15E49
1       37DC4
1       2EBD8
1       170F2
1       60360
1       2BE0A
1       87A33
1       17ACD
1       3D752
1       2957D
1       18E53
1       5B451
1       267F9
1       89EF1
1       58CD6
1       43747
1       23F25
1       1C0BC
1       5657E
1       215E6
1       8AE0F
1       53B82
1       49D48
1       8BF6D
1       1FADE
1       510AB
1       1CEC0
1       8AE7C
1       4DFE8
1       4ED0F
1       8B6B5
1       23FDB
1       4B8C5
1       18E2A
1       89350
1       487BE
1       54864
1       896FA
1       2908A
1       45E99
1       15F9D
1       871BB
1       42A46
1       59B30
1       86688
1       2E2B5
1       5CED1
1       13D33
1       841DD
1       3CFBD
1       5EE85
1       8315B
1       34907
1       61715
1       125C1
1       804E8
1       373BE
1       62B62
1       7EF43
1       3B2CD
1       659FE
1       11D03
1       7C4CC
1       317F9
1       66DDA
1       7A302
1       428C0
1       69003
1       11BAF
1       770AA
1       2C32C
1       69A53
1       749D6
1       49567
1       6C31B
1       12711
1       4CAB4
1       27342
1       6C797
1       6E615
1       50E3A
1       6E112
1       13B93
1       54080
1       22877
1       6E991
1       67E0A
1       58B9A
1       6F06C
1       15AD9
1       5B610
1       1E82D
1       702D7
1       61007
1       60202
1       6F8FF
1       187D5
1       6278C
1       1B2E0
1       7060F
1       5971F
1       66B7F
1       6FA2A
1       1BDBB
1       6964E
1       19067
1       70DAD
1       51F57
1       6DCD2
1       6F378
1       2019A
1       70007
1       16FD4
1       6FC71
1       4A695
1       73EA7
1       6DC8D
1       24F0F
1       762D0
1       15643
1       6D5F5
1       42B69
1       79B02
1       6B577
1       2A3AD
1       7B857
1       14D9C
1       2CE96
1       3B6BE
1       7FB1F
1       680E2
1       2FCF1
1       805C8
1       14FFD
1       32D83
1       345F1
1       83CB1
1       63BB3
1       35122
1       84598
1       1629C
1       38FBB
1       2D96A
1       8681D
1       5F6EC
1       3B44C
1       87C48
1       17F23
1       3F013
1       27B5A
1       197DE
1       5A912
1       413EF
1       8A3B7
1       1AC7F
1       450D7
1       227B1
1       1C87F
1       55085
1       E00000
1       8B220
1       1E08D
1       4A7D9
1       1E803
1       2011F
1       4F820
1       1C56C
1       8B142
1       22320
1       50904
1       1A778
1       25099
1       49FC0
1       188F9
1       89A91
1       27447
1       566A9
1       16ED9
1       2A4FD
1       43F70
1       15861
1       87359
1       1085E
1       5B9BE
1       14723
1       300D5
1       3E12A
1       13613
1       83CEE
1       3C53D
1       60690
1       12C0D
1       36E77
1       38165
1       12051
1       7FA57
1       36E84
1       64EF5
1       7D639
1       3D8DE
1       32229
1       118F8
1       7A89A
1       30528
1       68BC7
1       784C5
1       4551A
1       2C9C4
1       11D7A
1       74ECD
1       2B28C
1       6C494
1       72091
1       4CED0
1       275F9
1       12C6A
1       6E6CB
1       25184
1       6E724
1       6B683
1       5446C
1       2290D
1       14868
1       67A2F
1       20164
1       6F8ED
1       64AB9
1       5C3C9
1       1E0FD
1       1703D
1       608BD
1       1C497
1       702FC
1       5CF66
1       62E0E
1       6F7EE
1       19D77
1       590F2
1       194BB
1       70342
1       556F7
1       69EEE
1       6FAFD
1       1E185
1       C00000
1       17ADF
1       70453
1       4DD6A
1       70E9B
1       6E7C2
1       22964
1       733EE
1       165A4
1       6F68A
1       46443
1       77513
1       6C7CB
1       27775
1       78F3F
1       14F29
1       6C0FD
1       3EC1D
1       7CCCB
1       69856
1       2CAE1
0       2C35C
0       3A80C
0       7D6E3
0       68016
0       2ECCA
0       804A2
0       14FA3
0       66CB6
0       342CC
0       81F90
0       6408C
0       34BCD
0       315DF
0       161AF
0       62210
0       2DEC0
0       85F0B
0       16CBE
0       3B24B
0       2ABDC
0       181D8
0       5CC72
0       3DD6E
0       893A6
0       19770
0       42249
0       24B49
0       89B94
0       57AD7
0       44F28
0       8B350
0       1CBD1
0       553B1
0       1E9E6
0       89632
0       51DFD
0       4AFCC
0       8B938
0       20B38
0       4F5E0
0       1A934
0       89417
0       4C31D
0       515D9
0       8A5FF
0       258BC
0       248E4
0       17ADA
0       88A94
0       45ECB
0       56812
0       88283
0       2B490
0       5A2C2
0       14D61
0       85BA8
0       3FB49
0       5BE65
0       84BE4
0       31AF5
0       5F7D3
0       130D4
0       825A4
0       3953B
0       6082E
0       807D5
0       38B3C
0       641E0
0       11B24
0       3C049
0       33507
0       64E8B
0       7BAFB
0       4013C
0       68475
0       119FB
0       4377A
